Contest ID,Index,Name,Type,Points,Tags,Time Limit,Memory Limit,Description
2035,H,Peak Productivity Forces,PROGRAMMING,4500.0,constructive algorithms,N/A,N/A,"H. Peak Productivity Forcestime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputI'm peakly productive and this is deep.You are given two permutations$$$^{\text{∗}}$$$ $$$a$$$ and $$$b$$$, both of length $$$n$$$.You can perform the following three-step operation on permutation $$$a$$$:  Choose an index $$$i$$$ ($$$1 \le i \le n$$$). Cyclic shift $$$a_1, a_2, \ldots, a_{i-1}$$$ by $$$1$$$ to the right. If you had chosen $$$i = 1$$$, then this range doesn't exist, and you cyclic shift nothing. Cyclic shift $$$a_{i + 1}, a_{i + 2}, \ldots, a_n$$$ by $$$1$$$ to the right. If you had chosen $$$i = n$$$, then this range doesn't exist, and you cyclic shift nothing.After the operation, $$$a_1,a_2,\ldots, a_{i-2},a_{i-1},a_i,a_{i + 1}, a_{i + 2},\ldots,a_{n-1}, a_n$$$ is transformed into $$$a_{i-1},a_1,\ldots,a_{i-3},a_{i-2},a_i,a_n, a_{i + 1},\ldots,a_{n-2}, a_{n-1}$$$.Here are some examples of operations done on the identity permutation $$$[1,2,3,4,5,6,7]$$$ of length $$$7$$$:   If we choose $$$i = 3$$$, it will become $$$[2, 1, 3, 7, 4, 5, 6]$$$.  If we choose $$$i = 1$$$, it will become $$$[1, 7, 2, 3, 4, 5, 6]$$$.  If we choose $$$i = 7$$$, it will become $$$[6, 1, 2, 3, 4, 5, 7]$$$.  Notably, position $$$i$$$ is not shifted. Find a construction using at most $$$2n$$$ operations to make $$$a$$$ equal to $$$b$$$ or print $$$-1$$$ if it is impossible. The number of operations does not need to be minimized. It can be shown that if it is possible to make $$$a$$$ equal to $$$b$$$, it is possible to do this within $$$2n$$$ operations. $$$^{\text{∗}}$$$A permutation of length $$$n$$$ is an array consisting of $$$n$$$ distinct integers from $$$1$$$ to $$$n$$$ in arbitrary order. For example, $$$[2,3,1,5,4]$$$ is a permutation, but $$$[1,2,2]$$$ is not a permutation ($$$2$$$ appears twice in the array), and $$$[1,3,4]$$$ is also not a permutation ($$$n=3$$$ but there is $$$4$$$ in the array).InputThe first line contains a single integer $$$t$$$ ($$$1 \le t \le 5 \cdot 10^4$$$) — the number of test cases.The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 5 \cdot 10^5$$$) — the lengths of permutations $$$a$$$ and $$$b$$$.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le n$$$) — the values of permutation $$$a$$$.The third line of each test case contains $$$n$$$ integers $$$b_1, b_2, \ldots, b_n$$$ ($$$1 \le b_i \le n$$$) — the values of permutation $$$b$$$.It is guaranteed that the sum of $$$n$$$ over all test cases will not exceed $$$5 \cdot 10^5$$$.OutputFor each test case:If there is a sequence of operations to transform $$$a$$$ into $$$b$$$, output a single integer $$$q$$$ ($$$0\le q\le 2n$$$) — the number of operations in the first line and $$$q$$$ integers with the $$$i$$$-th number representing the index of the $$$i$$$-th operation in the second line.If there is no sequence of operations, output $$$-1$$$ in the only line.ExampleInput
411121 22 132 1 33 2 187 8 3 5 4 6 1 22 1 6 4 5 3 8 7Output
0

-1
2
1 3
7
3 4 5 1 2 1 1
NoteIn the first case, you can do no operation since $$$a=b$$$.In the second case, it can be proved $$$a$$$ can not be transformed into $$$b$$$.In the third case, $$$a$$$ is transformed into $$$[2,3,1]$$$ after the first operation and into $$$b$$$ after the second operation."
2035,G2,Go Learn! (Hard Version),PROGRAMMING,2000.0,"divide and conquer, dp",N/A,N/A,"G2. Go Learn! (Hard Version)time limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputThe differences between the easy and hard versions are the constraints on $$$n$$$ and the sum of $$$n$$$. In this version, $$$n \leq 3\cdot 10^5$$$ and the sum of $$$n$$$ does not exceed $$$10^6$$$. You can only make hacks if both versions are solved. Well, well, well, let's see how Bessie is managing her finances. She seems to be in the trenches! Fortunately, she is applying for a job at Moogle to resolve this issue. Moogle interviews require intensive knowledge of obscure algorithms and complex data structures, but Bessie received a tip-off from an LGM on exactly what she has to go learn.Bessie wrote the following code to binary search for a certain element $$$k$$$ in a possibly unsorted array $$$[a_1, a_2,\ldots,a_n]$$$ with $$$n$$$ elements.let l = 1let h = nwhile l < h:  let m = floor((l + h) / 2)  if a[m] < k:    l = m + 1  else:    h = mreturn lBessie submitted her code to Farmer John's problem with $$$m$$$ ($$$1 \leq m \leq n$$$) tests. The $$$i$$$-th test is of the form $$$(x_i, k_i)$$$ ($$$1 \leq x, k \leq n$$$). It is guaranteed all the $$$x_i$$$ are distinct and all the $$$k_i$$$ are distinct.Test $$$i$$$ is correct if the following hold:  The $$$x_i$$$-th element in the array is $$$k_i$$$.  If Bessie calls the binary search as shown in the above code for $$$k_i$$$, it will return $$$x_i$$$. It might not be possible for all $$$m$$$ tests to be correct on the same array, so Farmer John will remove some of them so Bessie can AC. Let $$$r$$$ be the minimum of tests removed so that there exists an array $$$[a_1, a_2,\ldots,a_n]$$$ with $$$1 \leq a_i \leq n$$$ so that all remaining tests are correct. In addition to finding $$$r$$$, Farmer John wants you to count the number of arrays $$$[a_1, a_2,\ldots,a_n]$$$ with $$$1 \leq a_i \leq n$$$ such that there exists a way to remove exactly $$$r$$$ tests so that all the remaining tests are correct. Since this number may be very large, please find it modulo $$$998\,244\,353$$$.InputThe first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.The first line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$1 \leq m \leq n \leq 3 \cdot 10^5$$$) denoting the number of the array and the number of tests.The following $$$m$$$ lines each contain two integers, describing the tests. The $$$i$$$-th line contains two integers $$$x_i$$$ and $$$k_i$$$ ($$$1 \leq x_i, k_i \leq n$$$) denoting the index and value of the test. It is guaranteed all $$$x_i$$$ are distinct and all $$$k_i$$$ are distinct.It is guaranteed the sum of $$$n$$$ across all test cases does not exceed $$$10^6$$$.OutputFor each test case, output two integers, $$$r$$$ — the minimum of tests removed so that there exists an array so that all remaining tests are correct, and the number of arrays such that it is possible to remove $$$r$$$ tests to make all remaining tests correct modulo $$$998\,244\,353$$$.ExamplesInput
25 41 12 24 35 45 45 42 51 23 3Output
0 1
1 3
Input
36 61 32 53 14 25 46 630 819 226 1212 128 273 414 2529 1411 15300000 15 10Output
3 78
3 839271911
0 702730519
NoteConsider the first example.In the first test case, the array $$$[1,2,2,3,4]$$$ satisfies all $$$m$$$ tests, so the minimum number of tests Bessie has to remove is $$$0$$$. Note that this is also the only array that satisfies all $$$m$$$ tests. In the second test case, the minimum number of tests Bessie has to remove is $$$1$$$. The only test Bessie can remove is $$$(2,5)$$$. If Bessie removes test $$$(2,5)$$$, then the arrays satisfying the remaining $$$m-1$$$ tests are $$$[2,2,3,1,4]$$$, $$$[2,2,3,2,4]$$$, $$$[2,2,3,3,4]$$$."
2035,G1,Go Learn! (Easy Version),PROGRAMMING,2250.0,"dp, trees",N/A,N/A,"G1. Go Learn! (Easy Version)time limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputThe differences between the easy and hard versions are the constraints on $$$n$$$ and the sum of $$$n$$$. In this version, $$$n \leq 3000$$$ and the sum of $$$n$$$ does not exceed $$$10^4$$$. You can only make hacks if both versions are solved. Well, well, well, let's see how Bessie is managing her finances. She seems to be in the trenches! Fortunately, she is applying for a job at Moogle to resolve this issue. Moogle interviews require intensive knowledge of obscure algorithms and complex data structures, but Bessie received a tip-off from an LGM on exactly what she has to go learn.Bessie wrote the following code to binary search for a certain element $$$k$$$ in a possibly unsorted array $$$[a_1, a_2,\ldots,a_n]$$$ with $$$n$$$ elements.let l = 1let h = nwhile l < h:  let m = floor((l + h) / 2)  if a[m] < k:    l = m + 1  else:    h = mreturn lBessie submitted her code to Farmer John's problem with $$$m$$$ ($$$1 \leq m \leq n$$$) tests. The $$$i$$$-th test is of the form $$$(x_i, k_i)$$$ ($$$1 \leq x, k \leq n$$$). It is guaranteed all the $$$x_i$$$ are distinct and all the $$$k_i$$$ are distinct.Test $$$i$$$ is correct if the following hold:  The $$$x_i$$$-th element in the array is $$$k_i$$$.  If Bessie calls the binary search as shown in the above code for $$$k_i$$$, it will return $$$x_i$$$. It might not be possible for all $$$m$$$ tests to be correct on the same array, so Farmer John will remove some of them so Bessie can AC. Let $$$r$$$ be the minimum of tests removed so that there exists an array $$$[a_1, a_2,\ldots,a_n]$$$ with $$$1 \leq a_i \leq n$$$ so that all remaining tests are correct. In addition to finding $$$r$$$, Farmer John wants you to count the number of arrays $$$[a_1, a_2,\ldots,a_n]$$$ with $$$1 \leq a_i \leq n$$$ such that there exists a way to remove exactly $$$r$$$ tests so that all the remaining tests are correct. Since this number may be very large, please find it modulo $$$998\,244\,353$$$.InputThe first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.The first line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$1 \leq m \leq n \leq 3000$$$) denoting the number of the array and the number of tests.The following $$$m$$$ lines each contain two integers, describing the tests. The $$$i$$$-th line contains two integers $$$x_i$$$ and $$$k_i$$$ ($$$1 \leq x_i, k_i \leq n$$$) denoting the index and value of the test. It is guaranteed all $$$x_i$$$ are distinct and all $$$k_i$$$ are distinct.It is guaranteed the sum of $$$n$$$ across all test cases does not exceed $$$10^4$$$.OutputFor each test case, output two integers, $$$r$$$ — the minimum of tests removed so that there exists an array so that all remaining tests are correct, and the number of arrays such that it is possible to remove $$$r$$$ tests to make all remaining tests correct modulo $$$998\,244\,353$$$.ExamplesInput
25 41 12 24 35 45 45 42 51 23 3Output
0 1
1 3
Input
26 61 32 53 14 25 46 630 819 226 1212 128 273 414 2529 1411 15Output
3 78
3 839271911
NoteConsider the first example.In the first test case, the array $$$[1,2,2,3,4]$$$ satisfies all $$$m$$$ tests, so the minimum number of tests Bessie has to remove is $$$0$$$. Note that this is also the only array that satisfies all $$$m$$$ tests. In the second test case, the minimum number of tests Bessie has to remove is $$$1$$$. The only test Bessie can remove is $$$(2,5)$$$. If Bessie removes test $$$(2,5)$$$, then the arrays satisfying the remaining $$$m-1$$$ tests are $$$[2,2,3,1,4]$$$, $$$[2,2,3,2,4]$$$, $$$[2,2,3,3,4]$$$."
2035,F,Tree Operations,PROGRAMMING,2250.0,"binary search, brute force, dfs and similar, dp, trees",N/A,N/A,"F. Tree Operationstime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputThis really says a lot about our society.One day, a turtle gives you a tree with $$$n$$$ nodes rooted at node $$$x$$$. Each node has an initial nonnegative value; the $$$i$$$-th node has starting value $$$a_i$$$.You want to make the values of all nodes equal to $$$0$$$. To do so, you will perform a series of operations on the tree, where each operation will be performed on a certain node. Define an operation on node $$$u$$$ as choosing a single node in $$$u$$$'s subtree$$$^{\text{∗}}$$$ and incrementing or decrementing its value by $$$1$$$. The order in which operations are performed on nodes is as follows:  For $$$1 \le i \le n$$$, the $$$i$$$-th operation will be performed on node $$$i$$$.  For $$$i > n$$$, the $$$i$$$-th operation will be performed on the same node as operation $$$i - n$$$. More formally, the $$$i$$$-th operation will be performed on the $$$(((i - 1) \bmod n) + 1)$$$-th node.$$$^{\text{†}}$$$Note that you cannot skip over operations; that is, you cannot perform the $$$i$$$-th operation without first performing operations $$$1, 2, \ldots, i - 1$$$.Find the minimum number of operations you must perform before you can make the values of all nodes equal to $$$0$$$, assuming you pick operations optimally. If it's impossible to make the values of all nodes equal to $$$0$$$ after finite operations, output $$$-1$$$.$$$^{\text{∗}}$$$The subtree of a node $$$u$$$ is the set of nodes for which $$$u$$$ lies on the shortest path from this node to the root, including $$$u$$$ itself.$$$^{\text{†}}$$$Here, $$$a \bmod b$$$ denotes the remainder from dividing $$$a$$$ by $$$b$$$.InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 100$$$) — the number of test cases.The first line of each test case contains two integers $$$n$$$ and $$$x$$$ ($$$1 \le n \le 2000$$$, $$$1 \le x \le n$$$) — the number of nodes and the root of the tree.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \le a_i \le 10^9$$$) — the starting value of each node.Each of the next $$$n - 1$$$ lines of each test case contains two integers $$$u$$$ and $$$v$$$ ($$$1 \le u, v \le n$$$, $$$u \neq v$$$) representing an undirected edge from $$$u$$$ to $$$v$$$. It is guaranteed that the given edges form a tree.It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2000$$$.OutputFor each test case, output a single integer denoting the minimum amount of operations needed to make all nodes $$$0$$$. If it's impossible to make all nodes $$$0$$$, output $$$-1$$$.ExampleInput
52 11 21 23 22 1 32 13 24 11 1 0 11 22 31 412 614 4 5 6 12 9 5 11 6 2 1 123 910 66 124 33 15 119 75 61 82 85 11 10Output
3
6
5
145
0
NoteIn the first test case, you can make the following valid sequence of operations:   For operation $$$1$$$, decrease the value of node $$$1$$$. This is valid because $$$(((1 - 1) \bmod n) + 1) = 1$$$, and node $$$1$$$ is in the subtree of node $$$1$$$.  For operation $$$2$$$, decrease the value of node $$$2$$$. This is valid because $$$(((2 - 1) \bmod n) + 1) = 2$$$, and node $$$2$$$ is in the subtree of node $$$2$$$.  For operation $$$3$$$, decrease the value of node $$$2$$$. This is valid because $$$(((3 - 1) \bmod n) + 1) = 1$$$, and node $$$2$$$ is in the subtree of node $$$1$$$."
2035,E,Monster,PROGRAMMING,2000.0,"binary search, brute force, constructive algorithms, implementation, math",N/A,N/A,"E. Monstertime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputMan, this Genshin boss is so hard. Good thing they have a top-up of $$$6$$$ coins for only $$$ \$4.99$$$. I should be careful and spend no more than I need to, lest my mom catches me...You are fighting a monster with $$$z$$$ health using a weapon with $$$d$$$ damage. Initially, $$$d=0$$$. You can perform the following operations.  Increase $$$d$$$ — the damage of your weapon by $$$1$$$, costing $$$x$$$ coins.  Attack the monster, dealing $$$d$$$ damage and costing $$$y$$$ coins. You cannot perform the first operation for more than $$$k$$$ times in a row.Find the minimum number of coins needed to defeat the monster by dealing at least $$$z$$$ damage.InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 100$$$) — the number of test cases.The only line of each test case contains 4 integers $$$x$$$, $$$y$$$, $$$z$$$, and $$$k$$$ ($$$1\leq x, y, z, k\leq 10^8$$$) — the first operation's cost, the second operation's cost, the monster's health, and the limitation on the first operation.OutputFor each test case, output the minimum number of coins needed to defeat the monster.ExampleInput
42 3 5 510 20 40 51 60 100 1060 1 100 10Output
12
190
280
160
NoteIn the first test case, $$$x = 2$$$, $$$y = 3$$$, $$$z = 5$$$, and $$$k = 5$$$. Here's a strategy that achieves the lowest possible cost of $$$12$$$ coins:   Increase damage by $$$1$$$, costing $$$2$$$ coins.  Increase damage by $$$1$$$, costing $$$2$$$ coins.  Increase damage by $$$1$$$, costing $$$2$$$ coins.  Attack the monster, dealing $$$3$$$ damage, costing $$$3$$$ coins.  Attack the monster, dealing $$$3$$$ damage, costing $$$3$$$ coins. You deal a total of $$$3 + 3 = 6$$$ damage, defeating the monster who has $$$5$$$ health. The total number of coins you use is $$$2 + 2 + 2 + 3 + 3 = 12$$$ coins. In the second test case, $$$x = 10$$$, $$$y = 20$$$, $$$z = 40$$$, and $$$k = 5$$$. Here's a strategy that achieves the lowest possible cost of $$$190$$$ coins:   Increase damage by $$$5$$$, costing $$$5\cdot x$$$ = $$$50$$$ coins.  Attack the monster once, dealing $$$5$$$ damage, costing $$$20$$$ coins.  Increase damage by $$$2$$$, costing $$$2\cdot x$$$ = $$$20$$$ coins.  Attack the monster $$$5$$$ times, dealing $$$5\cdot 7 = 35$$$ damage, costing $$$5\cdot y$$$ = $$$100$$$ coins. You deal a total of $$$5 + 35 = 40$$$ damage, defeating the monster who has exactly $$$40$$$ health. The total number of coins you use is $$$50 + 20 + 20 + 100 = 190$$$ coins."
2035,D,Yet Another Real Number Problem,PROGRAMMING,1500.0,"data structures, greedy, math",N/A,N/A,"D. Yet Another Real Number Problemtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputThree r there are's in strawberry.You are given an array $$$b$$$ of length $$$m$$$. You can perform the following operation any number of times (possibly zero):   Choose two distinct indices $$$i$$$ and $$$j$$$ where $$$\bf{1\le i < j\le m}$$$ and $$$b_i$$$ is even, divide $$$b_i$$$ by $$$2$$$ and multiply $$$b_j$$$ by $$$2$$$.  Your task is to maximize the sum of the array after performing any number of such operations. Since it could be large, output this sum modulo $$$10^9+7$$$.Since this problem is too easy, you are given an array $$$a$$$ of length $$$n$$$ and need to solve the problem for each prefix of $$$a$$$.In other words, denoting the maximum sum of $$$b$$$ after performing any number of such operations as $$$f(b)$$$, you need to output $$$f([a_1])$$$, $$$f([a_1,a_2])$$$, $$$\ldots$$$, $$$f([a_1,a_2,\ldots,a_n])$$$ modulo $$$10^9+7$$$ respectively.InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 10^4$$$) — the number of test cases.The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$) — the length of $$$a$$$.The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the starting values of array $$$a$$$.It is guaranteed that the sum of $$$n$$$ over all test cases will not exceed $$$2 \cdot 10^5$$$.OutputFor each test case, output $$$n$$$ integers representing the answer for each prefix of $$$a$$$ modulo $$$10^9+7$$$.ExampleInput
3101 2 3 4 5 6 7 8 9 10111 6 9 4 7 4 4 10 3 2 34527792568 502211460 850237282 374773208Output
1 3 8 13 46 59 126 149 1174 1311 
1 7 22 26 70 74 150 1303 1306 1308 1568 
527792568 83665723 399119771 773892979 
NoteFor each prefix in the first example, a possible array after operations is:   $$$[1]$$$ and the sum is $$$1$$$;  $$$[1, 2]$$$ and the sum is $$$3$$$;  $$$[1, 1, 6]$$$ and the sum is $$$8$$$;  $$$[1, 1, 3, 8]$$$ and the sum is $$$13$$$;  $$$[1, 1, 3, 1, 40]$$$ and the sum is $$$46$$$;  $$$[1, 1, 3, 1, 5, 48]$$$ and the sum is $$$59$$$;  $$$[1, 1, 3, 1, 5, 3, 112]$$$ and the sum is $$$126$$$;  $$$[1, 1, 3, 1, 5, 3, 7, 128]$$$ and the sum is $$$149$$$;  $$$[1, 1, 3, 1, 5, 3, 7, 1, 1152]$$$ and the sum is $$$1174$$$;  $$$[1, 1, 3, 1, 5, 3, 7, 1, 9, 1280]$$$ and the sum is $$$1311$$$."
2035,C,Alya and Permutation,PROGRAMMING,1000.0,"bitmasks, constructive algorithms, math",N/A,N/A,"C. Alya and Permutationtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputAlya has been given a hard problem. Unfortunately, she is too busy running for student council. Please solve this problem for her.Given an integer $$$n$$$, construct a permutation $$$p$$$ of integers $$$1, 2, \ldots, n$$$ that maximizes the value of $$$k$$$ (which is initially $$$0$$$) after the following process.Perform $$$n$$$ operations, on the $$$i$$$-th operation ($$$i=1, 2, \dots, n$$$),  If $$$i$$$ is odd, $$$k=k\,\&\,p_i$$$, where $$$\&$$$ denotes the bitwise AND operation.  If $$$i$$$ is even, $$$k=k\,|\,p_i$$$, where $$$|$$$ denotes the bitwise OR operation. InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 500$$$) — the number of test cases.The only line of each test case contains a single integer $$$n$$$ ($$$5\le n\le 2 \cdot 10^5$$$) — the length of the permutation.It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.OutputFor each test case, output the maximum value of $$$k$$$ in the first line and output the permutation $$$p_1, p_2,\ldots, p_n$$$ in the second line.If there are multiple such permutations, output any.ExampleInput
65678910Output
5
2 1 3 4 5 
7
1 2 4 6 5 3 
7
2 4 5 1 3 6 7 
15
2 4 5 1 3 6 7 8 
9
2 4 5 6 7 1 3 8 9 
15
1 2 3 4 5 6 8 10 9 7 
NoteFor the first test case, the value of $$$k$$$ is determined as follows:$$$k = 0$$$ initially. On the $$$1$$$st operation, $$$1$$$ is odd, so Alya sets $$$k$$$ to be $$$k\&p_1 = 0\&2 = 0$$$. On the $$$2$$$nd operation, $$$2$$$ is even, so Alya sets $$$k$$$ to be $$$k|p_2 = 0|1 = 1$$$. On the $$$3$$$rd operation, $$$3$$$ is odd, so Alya sets $$$k$$$ to be $$$k\&p_3 = 1\&3 = 1$$$. On the $$$4$$$th operation, $$$4$$$ is even, so Alya sets $$$k$$$ to be $$$k|p_4 = 1|4 = 5$$$. On the $$$5$$$th operation, $$$5$$$ is odd, so Alya sets $$$k$$$ to be $$$k\&p_5 = 5\&5 = 5$$$.The final value of $$$k$$$ is $$$5$$$. It can be shown that the final value of $$$k$$$ is at most $$$5$$$ for all permutations of length $$$5$$$. Another valid output is $$$[2, 3, 1, 4, 5]$$$.For the second test case, the final value of $$$k$$$ is $$$7$$$. It can be shown that the final value of $$$k$$$ is at most $$$7$$$ for all permutations of length $$$6$$$. Other valid outputs include $$$[2, 4, 1, 6, 3, 5]$$$ and $$$[5, 2, 6, 1, 3, 4]$$$."
2035,B,Everyone Loves Tres,PROGRAMMING,500.0,"constructive algorithms, greedy, math, number theory",N/A,N/A,"B. Everyone Loves Trestime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard outputThere are 3 heroes and 3 villains, so 6 people in total.Given a positive integer $$$n$$$. Find the smallest integer whose decimal representation has length $$$n$$$ and consists only of $$$3$$$s and $$$6$$$s such that it is divisible by both $$$33$$$ and $$$66$$$. If no such integer exists, print $$$-1$$$.InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 500$$$) — the number of test cases.The only line of each test case contains a single integer $$$n$$$ ($$$1\le n\le 500$$$) — the length of the decimal representation.OutputFor each test case, output the smallest required integer if such an integer exists and $$$-1$$$ otherwise.ExampleInput
6123457Output
-1
66
-1
3366
36366
3336366
NoteFor $$$n=1$$$, no such integer exists as neither $$$3$$$ nor $$$6$$$ is divisible by $$$33$$$.For $$$n=2$$$, $$$66$$$ consists only of $$$6$$$s and it is divisible by both $$$33$$$ and $$$66$$$.For $$$n=3$$$, no such integer exists. Only $$$363$$$ is divisible by $$$33$$$, but it is not divisible by $$$66$$$.For $$$n=4$$$, $$$3366$$$ and $$$6666$$$ are divisible by both $$$33$$$ and $$$66$$$, and $$$3366$$$ is the smallest."
2035,A,Sliding,PROGRAMMING,250.0,"implementation, math",N/A,N/A,"A. Slidingtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard outputRed was ejected. They were not the imposter.There are $$$n$$$ rows of $$$m$$$ people. Let the position in the $$$r$$$-th row and the $$$c$$$-th column be denoted by $$$(r, c)$$$. Number each person starting from $$$1$$$ in row-major order, i.e., the person numbered $$$(r-1)\cdot m+c$$$ is initially at $$$(r,c)$$$.The person at $$$(r, c)$$$ decides to leave. To fill the gap, let the person who left be numbered $$$i$$$. Each person numbered $$$j>i$$$ will move to the position where the person numbered $$$j-1$$$ is initially at. The following diagram illustrates the case where $$$n=2$$$, $$$m=3$$$, $$$r=1$$$, and $$$c=2$$$.   Calculate the sum of the Manhattan distances of each person's movement. If a person was initially at $$$(r_0, c_0)$$$ and then moved to $$$(r_1, c_1)$$$, the Manhattan distance is $$$|r_0-r_1|+|c_0-c_1|$$$.InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 10^4$$$) — the number of test cases.The only line of each testcase contains $$$4$$$ integers $$$n$$$, $$$m$$$, $$$r$$$, and $$$c$$$ ($$$1\le r\le n\le 10^6$$$, $$$1 \le c \le m \le 10^6$$$), where $$$n$$$ is the number of rows, $$$m$$$ is the number of columns, and $$$(r,c)$$$ is the position where the person who left is initially at.OutputFor each test case, output a single integer denoting the sum of the Manhattan distances.ExampleInput
42 3 1 22 2 2 11 1 1 11000000 1000000 1 1Output
6
1
0
1999998000000
NoteFor the first test case, the person numbered $$$2$$$ leaves, and the distances of the movements of the person numbered $$$3$$$, $$$4$$$, $$$5$$$, and $$$6$$$ are $$$1$$$, $$$3$$$, $$$1$$$, and $$$1$$$, respectively. So the answer is $$$1+3+1+1=6$$$.For the second test case, the person numbered $$$3$$$ leaves, and the person numbered $$$4$$$ moves. The answer is $$$1$$$."
2033,G,Sakurako and Chefir,PROGRAMMING,0,"data structures, dfs and similar, dp, greedy, trees",N/A,N/A,"G. Sakurako and Chefirtime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard outputGiven a tree with $$$n$$$ vertices rooted at vertex $$$1$$$. While walking through it with her cat Chefir, Sakurako got distracted, and Chefir ran away.To help Sakurako, Kosuke recorded his $$$q$$$ guesses. In the $$$i$$$-th guess, he assumes that Chefir got lost at vertex $$$v_i$$$ and had $$$k_i$$$ stamina.Also, for each guess, Kosuke assumes that Chefir could move along the edges an arbitrary number of times:  from vertex $$$a$$$ to vertex $$$b$$$, if $$$a$$$ is an ancestor$$$^{\text{∗}}$$$ of $$$b$$$, the stamina will not change;  from vertex $$$a$$$ to vertex $$$b$$$, if $$$a$$$ is not an ancestor of $$$b$$$, then Chefir's stamina decreases by $$$1$$$. If Chefir's stamina is $$$0$$$, he cannot make a move of the second type.For each assumption, your task is to find the distance to the farthest vertex that Chefir could reach from vertex $$$v_i$$$, having $$$k_i$$$ stamina.$$$^{\text{∗}}$$$Vertex $$$a$$$ is an ancestor of vertex $$$b$$$ if the shortest path from $$$b$$$ to the root passes through $$$a$$$.InputThe first line contains a single integer $$$t$$$ ($$$1\le t\le 10^4$$$) — the number of test cases.Each test case is described as follows:  The first line contains a single integer $$$n$$$ ($$$2 \le n \le 2 \cdot 10^5$$$) — the number of vertices in the tree. The next $$$n-1$$$ lines contain the edges of the tree. It is guaranteed that the given edges form a tree. The next line consists of a single integer $$$q$$$ $$$(1\le q\le 2 \cdot 10^5)$$$, which denotes the number of guesses made by Kosuke. The next $$$q$$$ lines describe the guesses made by Kosuke, with two integers $$$v_i$$$, $$$k_i$$$ $$$(1\le v_i \le n, 0 \le k_i\le n)$$$. It is guaranteed that the sum of $$$n$$$ and the sum of $$$q$$$ across all test cases does not exceed $$$2\cdot 10^5$$$.OutputFor each test case and for each guess, output the maximum distance to the farthest vertex that Chefir could reach from the starting point $$$v_i$$$ having $$$k_i$$$ stamina.ExampleInput
351 22 33 43 535 13 12 098 11 71 47 34 93 21 53 676 02 36 28 22 49 26 362 12 52 45 64 333 11 36 5Output
2 1 2 
0 5 2 4 5 5 5 
1 3 4 
NoteIn the first example:  In the first query, you can go from vertex $$$5$$$ to vertex $$$3$$$ (after which your stamina will decrease by $$$1$$$ and become $$$0$$$), and then you can go to vertex $$$4$$$;  In the second query, from vertex $$$3$$$ with $$$1$$$ stamina, you can only reach vertices $$$2$$$, $$$3$$$, $$$4$$$, and $$$5$$$;  In the third query, from vertex $$$2$$$ with $$$0$$$ stamina, you can only reach vertices $$$2$$$, $$$3$$$, $$$4$$$, and $$$5$$$;"
