Handle,City,Country,Organization,Contributions,Problems Solved
jiangly,Chongqing,China,Jiangly Fan Club,60,117
orzdevinwang,Hangzhou,China,Explosive Vegetable Club,28,96
ecnerwala,Cupertino,United States,MIT,42,115
ksun48,N/A,Canada,MIT,41,89
turmax,Saint Petersburg,Russia,Saint-Petersburg SU,15,73
Kevin114514,Zhijiang,China,Land of the Lost,118,165
Rewinding,Beijing,China,Jiangly Fan Club,61,78
LJC00118,Hangzhou,China,Hangzhou No.2 High School,1,77
hos.lyric,Tokyo,Japan,Rabbit House,64,84
maroonrk,Tokyo,Japan,The University of Tokyo,151,72
dXqwq,Zhijiang,China,Explosive Vegetable Club,129,135
Ormlis,Barnaul,Russia,Higher School of Economics,117,71
maspy,Tokyo,Japan,,68,188
peti1234,N/A,Hungary,turkhuu622 Fan Club,36,157
BurnedChicken,N/A,Taiwan,National Taiwan University,65,126
potato167,N/A,Japan,Tokyo Institute of Technology,1,95
Sugar_fan,N/A,China,Universal Cup,93,113
275307894a,Quzhou,China,Quzhou No.2 High School,6,132
crazy_sea,Zhongshan,China,Sun Yat-Sen Memorial Middle School,25,157
JoesSR,N/A,N/A,,-9,182
skip2004,Beijing,China,Jiangly Fan Club,2,102
dorijanlendvaj,Popovača,Croatia,University of Zagreb,31,194
kotatsugame,N/A,Japan,Tohoku University,6,107
jiangbowen,Shanghai,China,,25,222
arvindf232,N/A,Hong Kong,University of Cambridge,107,262
Rubikun,N/A,Japan,Blessing Software,43,124
xuanxuan001,Beijing,China,Capital Normal University High School,0,172
Swistakk,Warsaw,Poland,University of Warsaw,75,80
Maksim1744,Moscow,Russia,Higher School of Economics,40,70
-Eternity-,N/A,N/A,N/A,0,20
yuto1115,N/A,Japan,National University of Singapore,0,129
244mhq,Gomel,Belarus,Harbour.Space University,37,129
noimi,Tokyo,Japan,The University of Tokyo,14,68
StarSilk,N/A,China,Beijing JiaoTong University,19,152
qiuzx,McMurdo Station,Antarctica,Jiangly Fan Club,51,347
Karuna,Seoul,South Korea,Seoul National University,0,68
hitonanode,Tokyo,Japan,"MC Digital, Inc.",28,78
Endagorion,Amsterdam,Netherlands,pinely,55,268
shiomusubi496,N/A,Japan,,0,82
hank55663,Taipei,Taiwan,National Central University,1,86
oleh1421,Uzhhorod,Ukraine,University of Cambridge,39,100
neal,N/A,United States,USACO,45,76
jeroenodb,Delft,Netherlands,Delft University of Technology,116,146
le0n,Beijing,China,Beijing National Dianjing School,9,203
A_G,N/A,United States,,25,119
femboy-wannabe,N/A,N/A,,24,37
Adam_GS,Warsaw,Poland,"Warszawa, XIV LO Staszica",35,188
bashkort,Kazan’,Russia,Jiangly Fan Club,121,82
Amoo_Safar,Tehran,Iran,Sharif FUT,16,78
dog_of_Nesraychan,Fuzhou,China,FZYZ OI Group,0,23
ymmparsa,Tehran,Iran,,27,165
Crystally,N/A,United States,,24,121
PCTprobability,N/A,Japan,Nada High School,13,87
Morphymorphymorphy,Banjarmasin,Indonesia,Jiangly Fan Club,12,57
GroupMatrix,N/A,China,VividCycle,22,35
LHiC,Moscow,Russia,pinely,2,102
dreamoon_love_AA,Taipei,Taiwan,AACPSCHOOL,17,195
Dominater069,Kolkata,India,IIT Kharagpur,153,188
cmk666,N/A,Antarctica,Hangzhou No.2 High School,0,60
Sulfox,N/A,China,Northeastern University,34,121
tatyam,N/A,Japan,Tokyo Institute of Technology,25,107
Sana,N/A,N/A,Twice,3,119
Xylenox,N/A,United States,University of Central Florida,89,93
alireza_kaviani,Tehran,Iran,Allame Helli,53,138
Sol1,Beijing,China,The Affiliated High School of Peking University,38,237
orz,Saint Petersburg,Russia,Saint-Petersburg SU,135,119
PinkieRabbit,Fuzhou,China,Jiangly Fan Club,88,173
no_dream,N/A,N/A,Explosive Vegetable Club,0,95
Nyaan,N/A,Japan,The University of Tokyo,0,101
snuke,Tokyo,Japan,AtCoder,23,106
peltorator,Saarbrücken,Germany,Universität des Saarlandes,123,91
QwertyPi,Hong Kong,Hong Kong,,0,57
ainta,Seoul,South Korea,Georgia Institute of Technology,27,76
Noam527,Qiryat Moẕqin,Israel,,49,79
Golovanov399,Kazan’,Russia,Moscow IPT,101,94
