When,Who,Problem,Lang,Verdict,Time (ms),Memory (bytes)
2024-10-30 08:58:18,baisong,Kousuke's Assignment,C++20 (GCC 13-64),TESTING,0,0
2024-10-30 08:58:16,harinibanda,Theatre Square,Python 3,WRONG_ANSWER,46,0
2024-10-30 08:58:16,ScorpioDaggar,RBS,C++20 (GCC 13-64),TESTING,0,0
2024-10-30 08:58:15,Srikanth_4560,Magic Stick,Java 21,TESTING,0,0
2024-10-30 08:58:15,bdsharshitha,Mishka and Game,Java 21,TESTING,0,0
2024-10-30 08:58:15,StOlEn_KiNg,New Game,C++17 (GCC 7-32),TESTING,0,0
2024-10-30 08:58:15,preksha_1207,Tram,C++17 (GCC 7-32),TESTING,0,0
2024-10-30 08:58:15,wangmingwei,Kousuke's Assignment,"C++23 (GCC 14-64, msys2)",TESTING,0,0
2024-10-30 08:58:14,aashritha064,A+B Again?,Python 3,OK,77,0
2024-10-30 08:58:14,sachin_pec,Divisor Chain,C++20 (GCC 13-64),TESTING,0,0
