screen_name,city,country,organization,contributions,num_friends,problems_solved,days_in_a_row
HYH.AK.IOI,N/A,N/A,N/A,7.0,0,7,0
ecemekici,N/A,N/A,N/A,7.0,0,7,0
geyom9,N/A,N/A,N/A,7.0,0,7,0
TerimaKasihInfonya1937,N/A,N/A,N/A,7.0,0,7,0
_Gray_,N/A,N/A,N/A,7.0,0,7,0
L2K2,N/A,N/A,N/A,7.0,0,7,0
Lidox1145143344,N/A,N/A,N/A,7.0,0,7,0
is1813r,N/A,N/A,N/A,7.0,0,7,0
Uchiagehanabi,N/A,N/A,N/A,7.0,0,7,0
zzq114514,N/A,N/A,N/A,7.0,0,7,0
404_Not_f0und,N/A,N/A,N/A,7.0,0,7,0
AtOoSa_HaQiqAT,N/A,N/A,N/A,7.0,0,7,0
AIex_Wei,N/A,N/A,N/A,7.0,0,7,0
RoadToYellowthenRed,N/A,N/A,N/A,7.0,0,7,0
Alex_____Wei,N/A,N/A,N/A,7.0,0,7,0
willi19,N/A,N/A,N/A,7.0,0,7,0
zwj1,N/A,N/A,N/A,7.0,0,7,0
Dukkha,N/A,N/A,N/A,7.0,0,7,0
AC_is_love,N/A,N/A,N/A,6.0,0,7,0
SprayQuaza,N/A,N/A,N/A,6.0,0,7,0
ABCD_cpp,N/A,N/A,N/A,6.0,0,7,0
298iq,N/A,N/A,N/A,6.0,0,7,0
D1lute,N/A,N/A,N/A,6.0,0,7,0
EIKOU,N/A,N/A,N/A,6.0,0,7,0
wk_____tzc,N/A,N/A,N/A,6.0,0,7,0
KennyD,N/A,N/A,N/A,6.0,0,7,0
pootis,N/A,N/A,N/A,6.0,0,7,0
_Yukiko,N/A,N/A,N/A,6.0,0,7,0
pubfso,N/A,N/A,N/A,6.0,0,7,0
Synlore,N/A,N/A,N/A,6.0,0,7,0
newbie32768,N/A,N/A,N/A,6.0,0,7,0
XiaoYang_love_Sillage,N/A,N/A,N/A,6.0,0,7,0
sakshipathak12,N/A,N/A,N/A,6.0,0,7,0
starcy,N/A,N/A,N/A,6.0,0,7,0
ManhTr,N/A,N/A,N/A,6.0,0,7,0
moidda,N/A,N/A,N/A,6.0,0,7,0
I_love_sad_crying_cats,N/A,N/A,N/A,6.0,0,7,0
wanfeng_s,N/A,N/A,N/A,6.0,0,7,0
NamikazeMinato,N/A,N/A,N/A,6.0,0,7,0
fAKire,N/A,N/A,N/A,6.0,0,7,0
Lost96,N/A,N/A,N/A,6.0,0,7,0
vladalos,N/A,N/A,N/A,6.0,0,7,0
DeletedAccount,N/A,N/A,N/A,6.0,0,7,0
Juvitus,N/A,N/A,N/A,6.0,0,7,0
numynk,N/A,N/A,N/A,6.0,0,7,0
Evirir,N/A,N/A,N/A,6.0,0,7,0
need_a_job,N/A,N/A,N/A,6.0,0,7,0
ldeng-ustc,N/A,N/A,N/A,6.0,0,7,0
no_1ne,N/A,N/A,N/A,6.0,0,7,0
seduneon,N/A,N/A,N/A,6.0,0,7,0
_thirsty,N/A,N/A,N/A,6.0,0,7,0
jt_112,N/A,N/A,N/A,6.0,0,7,0
duabelas12,N/A,N/A,N/A,6.0,0,7,0
AkaneOvO,N/A,N/A,N/A,6.0,0,7,0
WantToGold,N/A,N/A,N/A,6.0,0,7,0
Dariusor,N/A,N/A,N/A,6.0,0,7,0
fzu_Y,N/A,N/A,N/A,6.0,0,7,0
DesiChamp,N/A,N/A,N/A,6.0,0,7,0
shangxiaomi,N/A,N/A,N/A,6.0,0,7,0
hujiarui_orz,N/A,N/A,N/A,6.0,0,7,0
XY_py,N/A,N/A,N/A,6.0,0,7,0
Fujimaru_Ritsuka,N/A,N/A,N/A,6.0,0,7,0
fakhinho,N/A,N/A,N/A,6.0,0,7,0
SomebodyOnline,N/A,N/A,N/A,6.0,0,7,0
ChrisJaunes,N/A,N/A,N/A,6.0,0,7,0
shivamgupta16,N/A,N/A,N/A,6.0,0,7,0
fire_tornado,N/A,N/A,N/A,6.0,0,7,0
neeraj_joshi,N/A,N/A,N/A,6.0,0,7,0
asitnikoff,N/A,N/A,N/A,6.0,0,7,0
retired_,N/A,N/A,N/A,6.0,0,7,0
Yash_Jain,N/A,N/A,N/A,6.0,0,7,0
kelian,N/A,N/A,N/A,6.0,0,7,0
taklimone,N/A,N/A,N/A,6.0,0,7,0
HappyChau0v0,N/A,N/A,N/A,6.0,0,7,0
