Rank,Handle,Rating,Max Rating,Contribution
tourist,tourist,4009,4009,0
legendary grandmaster,jiangly,3831,3904,0
legendary grandmaster,Radewoosh,3646,3759,0
legendary grandmaster,Benq,3620,3833,0
legendary grandmaster,jqdai0815,3620,3681,0
legendary grandmaster,Geothermal,3569,3569,0
legendary grandmaster,cnnfls_csy,3569,3690,0
legendary grandmaster,orzdevinwang,3529,3697,0
legendary grandmaster,gyh20,3447,3447,0
legendary grandmaster,ecnerwala,3446,3668,0
legendary grandmaster,Rebelz,3409,3415,0
legendary grandmaster,Um_nik,3396,3663,0
legendary grandmaster,ksun48,3373,3654,0
legendary grandmaster,djq_cpp,3368,3486,0
legendary grandmaster,turmax,3352,3352,0
legendary grandmaster,Kevin114514,3341,3341,0
legendary grandmaster,Rewinding,3320,3659,0
legendary grandmaster,LJC00118,3305,3305,0
legendary grandmaster,scott_wu,3297,3350,0
legendary grandmaster,Syloviaely,3274,3274,0
legendary grandmaster,conqueror_of_tourist,3260,3260,0
legendary grandmaster,hos.lyric,3237,3338,0
legendary grandmaster,disorientation,3219,3219,0
legendary grandmaster,maroonrk,3204,3650,0
legendary grandmaster,WYZFL,3200,3200,0
legendary grandmaster,AoLiGei,3199,3199,0
legendary grandmaster,dXqwq,3188,3188,0
legendary grandmaster,qazswedx2,3172,3198,0
legendary grandmaster,Ormlis,3168,3410,0
legendary grandmaster,Nachia,3151,3151,0
legendary grandmaster,fateice,3151,3337,0
legendary grandmaster,QuietBeautifulThoughts,3146,3262,0
legendary grandmaster,QAQAutoMaton,3143,3428,0
legendary grandmaster,ugly2333,3141,3296,0
legendary grandmaster,p_b_p_b,3137,3137,0
legendary grandmaster,Mr_Eight,3136,3136,0
legendary grandmaster,ko_osaga,3136,3500,0
legendary grandmaster,353cerega,3133,3153,0
legendary grandmaster,maspy,3129,3385,0
legendary grandmaster,Petr,3127,3597,0
legendary grandmaster,PubabaOnO,3127,3225,0
legendary grandmaster,cmll02,3120,3120,0
legendary grandmaster,peti1234,3112,3112,0
legendary grandmaster,isaf27,3110,3160,0
legendary grandmaster,Elegia,3109,3177,0
legendary grandmaster,BurnedChicken,3105,3255,0
legendary grandmaster,wangziji,3096,3096,0
legendary grandmaster,potato167,3093,3209,0
legendary grandmaster,xay5421,3093,3093,0
legendary grandmaster,Sugar_fan,3090,3090,0
legendary grandmaster,kiwihadron,3089,3114,0
legendary grandmaster,275307894a,3083,3083,0
legendary grandmaster,Szoboszlai10,3083,3083,0
legendary grandmaster,Egor,3081,3235,0
legendary grandmaster,Laurie,3074,3118,0
legendary grandmaster,jiangbowen_,3074,3074,0
legendary grandmaster,crazy_sea,3073,3146,0
legendary grandmaster,Kapt,3072,3072,0
legendary grandmaster,JoesSR,3070,3070,0
legendary grandmaster,blackyuki,3070,3070,0
legendary grandmaster,Qingyu,3065,3065,0
legendary grandmaster,FastFreeTask,3060,3084,0
legendary grandmaster,dotorya,3060,3237,0
legendary grandmaster,bmerry,3056,3089,0
legendary grandmaster,skip2004,3052,3075,0
legendary grandmaster,dorijanlendvaj,3049,3204,0
legendary grandmaster,AlternatingCurrent,3047,3047,0
legendary grandmaster,MagicSpark,3047,3047,0
legendary grandmaster,liuhengxi,3045,3045,0
legendary grandmaster,panole,3044,3044,0
legendary grandmaster,kotatsugame,3043,3094,0
legendary grandmaster,jiangbowen,3035,3035,0
legendary grandmaster,gisp_zjz,3033,3213,0
legendary grandmaster,cz_xuyixuan,3030,3030,0
legendary grandmaster,1a2b3c4,3029,3029,0
legendary grandmaster,SSerxhs,3027,3027,0
legendary grandmaster,duality,3023,3341,0
legendary grandmaster,KAN,3014,3025,0
legendary grandmaster,zx2003,3013,3013,0
legendary grandmaster,1092515503,3011,3011,0
legendary grandmaster,aaaaawa,3011,3046,0
legendary grandmaster,sjcsjcsjc,3011,3011,0
legendary grandmaster,arvindf232,3007,3081,0
legendary grandmaster,yzc2005,3006,3071,0
legendary grandmaster,Kubic,3004,3004,0
international grandmaster,Rubikun,2995,3033,0
international grandmaster,whzzt,2995,3025,0
international grandmaster,PEIMUDA,2989,2989,0
international grandmaster,xuanxuan001,2988,2988,0
international grandmaster,SSRS_,2984,3181,0
international grandmaster,Swistakk,2984,3105,0
international grandmaster,Maksim1744,2980,3376,0
international grandmaster,lumibons,2976,3151,0
international grandmaster,Subconscious,2974,3131,0
international grandmaster,errorgorn,2974,2974,0
international grandmaster,-Eternity-,2971,2971,0
international grandmaster,yuto1115,2971,3051,0
international grandmaster,244mhq,2968,3278,0
international grandmaster,yosupo,2964,3369,0
international grandmaster,noimi,2962,3353,0
