contestId,index,timeLimit,memoryLimit
2035,H,No Time Limit,No Memory Limit
2035,G2,No Time Limit,No Memory Limit
2035,G1,No Time Limit,No Memory Limit
2035,F,No Time Limit,No Memory Limit
2035,E,No Time Limit,No Memory Limit
2035,D,No Time Limit,No Memory Limit
2035,C,No Time Limit,No Memory Limit
2035,B,No Time Limit,No Memory Limit
2035,A,No Time Limit,No Memory Limit
2033,G,No Time Limit,No Memory Limit
2033,F,No Time Limit,No Memory Limit
2033,E,No Time Limit,No Memory Limit
2033,D,No Time Limit,No Memory Limit
2033,C,No Time Limit,No Memory Limit
2033,B,No Time Limit,No Memory Limit
2033,A,No Time Limit,No Memory Limit
2030,G2,No Time Limit,No Memory Limit
2030,G1,No Time Limit,No Memory Limit
2030,F,No Time Limit,No Memory Limit
2030,E,No Time Limit,No Memory Limit
2030,D,No Time Limit,No Memory Limit
2030,C,No Time Limit,No Memory Limit
2030,B,No Time Limit,No Memory Limit
2030,A,No Time Limit,No Memory Limit
2027,E2,No Time Limit,No Memory Limit
2027,E1,No Time Limit,No Memory Limit
2027,D2,No Time Limit,No Memory Limit
2027,D1,No Time Limit,No Memory Limit
2027,C,No Time Limit,No Memory Limit
2027,B,No Time Limit,No Memory Limit
2027,A,No Time Limit,No Memory Limit
2025,G,No Time Limit,No Memory Limit
2025,F,No Time Limit,No Memory Limit
2025,E,No Time Limit,No Memory Limit
2025,D,No Time Limit,No Memory Limit
2025,C,No Time Limit,No Memory Limit
2025,B,No Time Limit,No Memory Limit
2025,A,No Time Limit,No Memory Limit
2024,B,No Time Limit,No Memory Limit
2024,A,No Time Limit,No Memory Limit
2023,F,No Time Limit,No Memory Limit
2023,E,No Time Limit,No Memory Limit
2023,D,No Time Limit,No Memory Limit
2023,C,No Time Limit,No Memory Limit
2023,B,No Time Limit,No Memory Limit
2023,A,No Time Limit,No Memory Limit
2022,E2,No Time Limit,No Memory Limit
2022,E1,No Time Limit,No Memory Limit
2022,D2,No Time Limit,No Memory Limit
2022,D1,No Time Limit,No Memory Limit
2022,C,No Time Limit,No Memory Limit
2022,B,No Time Limit,No Memory Limit
2022,A,No Time Limit,No Memory Limit
2021,E3,No Time Limit,No Memory Limit
2021,E2,No Time Limit,No Memory Limit
2021,E1,No Time Limit,No Memory Limit
2021,D,No Time Limit,No Memory Limit
2021,C2,No Time Limit,No Memory Limit
2021,C1,No Time Limit,No Memory Limit
2021,B,No Time Limit,No Memory Limit
2021,A,No Time Limit,No Memory Limit
2020,F,No Time Limit,No Memory Limit
2020,E,No Time Limit,No Memory Limit
2020,D,No Time Limit,No Memory Limit
2020,C,No Time Limit,No Memory Limit
2020,B,No Time Limit,No Memory Limit
2020,A,No Time Limit,No Memory Limit
2019,B,No Time Limit,No Memory Limit
2019,A,No Time Limit,No Memory Limit
2018,F3,No Time Limit,No Memory Limit
2018,F2,No Time Limit,No Memory Limit
2018,F1,No Time Limit,No Memory Limit
2018,E2,No Time Limit,No Memory Limit
