Problem Name,Problem ID,Tags,Time Limit,Memory Limit,Description
Peak Productivity Forces,2035H,constructive algorithms,time limit per test,memory limit per test,H. Peak Productivity Forcestime limit per test3 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Go Learn! (Hard Version),2035G2,"divide and conquer, dp",time limit per test,memory limit per test,G2. Go Learn! (Hard Version)time limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Go Learn! (Easy Version),2035G1,"dp, trees",time limit per test,memory limit per test,G1. Go Learn! (Easy Version)time limit per test5 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Tree Operations,2035F,"binary search, brute force, dfs and similar, dp, trees",time limit per test,memory limit per test,F. Tree Operationstime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Monster,2035E,"binary search, brute force, constructive algorithms, implementation, math",time limit per test,memory limit per test,E. Monstertime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Yet Another Real Number Problem,2035D,"data structures, greedy, math",time limit per test,memory limit per test,D. Yet Another Real Number Problemtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Alya and Permutation,2035C,"bitmasks, constructive algorithms, math",time limit per test,memory limit per test,C. Alya and Permutationtime limit per test2 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Everyone Loves Tres,2035B,"constructive algorithms, greedy, math, number theory",time limit per test,memory limit per test,B. Everyone Loves Trestime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sliding,2035A,"implementation, math",time limit per test,memory limit per test,A. Slidingtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
Sakurako and Chefir,2033G,"data structures, dfs and similar, dp, greedy, trees",time limit per test,memory limit per test,G. Sakurako and Chefirtime limit per test4 secondsmemory limit per test256 megabytesinputstandard inputoutputstandard output
Kosuke's Sloth,2033F,"brute force, math, number theory",time limit per test,memory limit per test,F. Kosuke's Slothtime limit per test1 secondmemory limit per test256 megabytesinputstandard inputoutputstandard output
