Contest Name,Writers,Start Time,Duration,Registered Participants
Codeforces Round (Div. 2),AkiLotusKuroniMofKthanhchauns2,Nov/01/2024 17:35,02:00,N/A
Codeforces Round (Div. 3),,Nov/02/2024 17:35,02:15,N/A
Codeforces Round (Div. 1 + Div. 2),,Nov/09/2024 17:35,03:00,N/A
Codeforces Round (Div. 2),,Nov/10/2024 18:35,02:00,N/A
Codeforces Round (Div. 2),,Nov/15/2024 15:35,02:00,N/A
Codeforces Round (Div. 1 + Div. 2),,Nov/30/2024 17:35,02:00,N/A
Educational Codeforces Round 171 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoo,Oct/28/202417:35,02:00,N/A
Codeforces Global Round 27Enter »Virtual participation »,BenqHorilunchboxoursacosumturtletortleswilly108,Oct/27/202417:35,03:00,N/A
Codeforces Round 982 (Div. 2)Enter »Virtual participation »,myst-6yud08,Oct/26/202417:35,02:00,N/A
Codeforces Round 981 (Div. 3)Enter »Virtual participation »,FBI,Oct/24/202417:35,02:15,N/A
Codeforces Round 980 (Div. 1)Enter »Virtual participation »,MangoosteOrmlisTikhon228adepteXiaoglebustimsevlll777yunetive29,Oct/20/202412:05,02:00,N/A
Codeforces Round 980 (Div. 2)Enter »Virtual participation »,MangoosteOrmlisTikhon228adepteXiaoglebustimsevlll777yunetive29,Oct/20/202412:05,02:00,N/A
Codeforces Round 979 (Div. 2)Enter »Virtual participation »,cryvgoofficial,Oct/19/202417:05,02:15,N/A
Educational Codeforces Round 170 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoofcspartakm,Oct/14/202417:35,02:00,N/A
Codeforces Round 978 (Div. 2)Enter »Virtual participation »,JuanPabloAmezcuaMarckessSebRjampm,Oct/13/202422:35,02:00,N/A
"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)Enter »Virtual participation »",ArvinCiuCyberSleeperathinjoelgun14,Oct/06/202409:05,02:00,N/A
Kotlin Heroes: Episode 11Enter »Virtual participation »,BledDestNeonadedalicawooshnirelman,Sep/30/202417:35,02:30,N/A
Codeforces Round 976 (Div. 2) and Divide By Zero 9.0Enter »Virtual participation »,P.V.Sekharnishkarsh,Sep/29/202418:35,02:00,N/A
Codeforces Round 975 (Div. 1)Enter »Virtual participation »,TheScrasselorenzoferrariwksni,Sep/27/202416:35,02:30,N/A
Codeforces Round 975 (Div. 2)Enter »Virtual participation »,TheScrasselorenzoferrariwksni,Sep/27/202416:35,02:30,N/A
Codeforces Round 974 (Div. 3)Enter »Virtual participation »,ChairmanFMaoFilikecRobinFromTheHood,Sep/21/202417:45,02:15,N/A
Codeforces Round 973 (Div. 2)Enter »Virtual participation »,ChalishkanI_Love_Diar_NarumovWansur,Sep/20/202417:35,02:00,N/A
Kotlin Heroes: Practice 11Enter »,,Sep/17/202417:35,13:00:00,N/A
2024 ICPC World Finals: JetBrains Tech TrekEnter »,,Sep/17/202407:47,00:43,N/A
Codeforces Round 972 (Div. 2)Enter »Virtual participation »,BiNARyBeasttTsovak,Sep/14/202417:35,02:00,N/A
Codeforces Round 971 (Div. 4)Enter »Virtual participation »,cryvgoofficial,Sep/03/202417:35,02:30,N/A
Codeforces Round 970 (Div. 3)Enter »Virtual participation »,Pa_sha,Sep/01/202417:35,02:15,N/A
