Rank,Handle,Score,Problems Solved
1,maroonrk,8238.0,7
2,rng_58,7974.0,7
3,hogloid,7048.0,7
4,ngfam_kongu,6011.0,7
5,stevenkplus,5872.0,7
6,KFDong,5833.0,7
7,black_horse2014,5794.0,7
8,ilyakor,5792.0,7
9,matthew99,5731.0,7
10,adedalic,5616.0,7
11,jqdai0815,5403.0,7
12,cuizhuyefei,5364.0,7
12,lych_cys,5364.0,7
14,dreamoon_love_AA,5319.0,7
15,KrK,5229.0,7
16,step5,4951.0,7
17,jiry_2,4783.0,7
18,W4yneb0t,4762.0,7
19,Gullesnuffs,4737.0,7
20,uwi,4414.0,7
21,Maniac_Wallnut,4321.0,7
22,jerry,4270.0,7
23,Marcin_smu,4248.0,7
24,fsouza,4104.0,7
25,molamola.,4047.0,7
26,A05,3674.0,7
27,anta,3669.0,7
28,-w-,3649.0,7
29,Dudaev,3575.0,7
30,saketh,3510.0,7
31,Radewoosh,3417.0,7
32,aid,3380.0,7
33,Shapo,3370.0,7
34,IzumiKonata,3275.0,7
35,Baklazan,3273.0,7
36,guille,3226.0,7
37,kutengine,3102.0,7
38,DamianS,3086.0,7
39,naagi,3078.0,7
40,Nezzar,3011.0,7
41,mnbvmar,2952.0,7
42,Egor,2942.0,7
43,kut_ksr1994,2877.0,7
44,Sankarea,2865.0,7
45,kinol,2810.0,7
46,ShadowLight,2783.0,7
47,desert97,2750.0,7
48,natsugiri,2740.0,7
49,josdas,2733.0,7
50,TianyiQ,2721.0,7
51,MrDindows,2702.0,7
52,I_love_Tanya_Romanova,2694.0,7
53,reus,2680.0,7
54,PrinceOfPersia,2620.0,7
55,zemen,2595.0,7
56,cchao,2584.0,7
56,Chen_ChaoRui,2584.0,7
58,krismaz,2573.0,7
59,dnkywin,2521.0,7
60,Hasan0540,2505.0,7
61,Errichto,2504.0,7
62,marat.snowbear,2501.0,7
63,satashun,2491.0,7
64,little_waxberry,2478.0,7
65,tonyjjw,2474.0,7
66,shubhanshu786,2470.0,7
67,fenzhang,2454.0,7
68,HackerTina,2436.0,7
69,rowdark,2411.0,7
70,plus1ironwoodbranch,2397.0,7
71,love_master,2386.0,7
72,Kvark161,2301.0,7
73,knightL,2294.0,7
74,touristv2,2270.0,7
75,nhho,2260.0,7
76,HeHere,2251.0,7
77,GuessEver,2224.0,7
78,LiChenKoh,2208.0,7
79,oier_pb,2204.0,7
80,jcg,2195.0,7
81,xiaowenzi,2180.0,7
82,chitanda,2174.0,7
83,Andreikkaa,2163.0,7
84,Balajiganapathi,2149.0,7
85,yummy,2136.0,7
86,adamant,2107.0,7
87,ItsLastDay,2080.0,7
88,stdioH,2070.0,7
89,arthur.nascimento,2064.0,7
90,amomorning,2039.0,7
91,isego,2028.0,7
92,Vlad_kv,2012.0,7
93,ipavlov,2004.0,7
94,enesoncu,1999.0,7
95,KungA,1998.0,7
96,harhrayr,1982.0,7
97,Deemo,1921.0,7
98,Nikitosh,1909.0,7
99,BekzhanKassenov,1901.0,7
100,little_misfortune,1888.0,7
101,Sampson,1886.0,7
102,Edvard,1866.0,7
103,_O.O_,1856.0,7
104,azneyes,1840.0,7
105,akim,1837.0,7
106,maxkvant,1825.0,7
107,pacu,1817.0,7
108,Amor727,1786.0,7
109,aaaaajack,1777.0,7
110,igor.lifar,1702.0,7
111,GentleSmile,1699.0,7
112,SeyedParsa,1679.0,7
113,BSBandme,1668.0,7
114,el_sanchez,1628.0,7
115,akulsareen,1614.0,7
116,Amirnasr,1601.0,7
117,kalimm,1578.0,7
118,pulkitg10,1563.0,7
119,M.Mahdi,1530.0,7
120,vilcheuski,1454.0,7
121,StarCuriosity,1418.0,7
122,azukun,1402.0,7
123,sin45d,1400.0,7
124,hang,1390.0,7
125,SteamTurbine,1388.0,7
126,Death_Knight_DK,1373.0,7
127,NVAL,1360.0,7
128,ingress,1354.0,7
129,FizzyDavid,1340.0,7
130,Morphy,1333.0,7
131,Romchela,1322.0,7
132,Sumeet.Varma,1316.0,7
133,mrsam,1314.0,7
133,Shef,1314.0,7
135,HellKitsune,1312.0,7
136,xorfire,1308.0,7
137,No_Use_Anymore,1304.0,7
138,a.piasta,1302.0,7
139,tyamgin,1300.0,7
140,tabasz,1286.0,7
141,kondranin,1284.0,7
142,baobaopangzi88,1282.0,7
143,ashish1610,1278.0,7
144,Konijntje,1276.0,7
145,memset123,1266.0,7
146,victor_kzk,1260.0,7
147,orangejuicesheep,1256.0,7
148,sorry_quailty,1254.0,7
149,vacuumer,1250.0,7
150,Used_ToBe,1242.0,7
150,IMAN_GH,1242.0,7
152,akshatb,1240.0,7
153,gsahil,1238.0,7
154,dwjshift,1236.0,7
155,kpw29,1234.0,7
155,yeguanghao,1234.0,7
157,vas.and.tor,1226.0,7
157,cloudyj,1226.0,7
159,sugim48,1222.0,7
160,new_doubleh,1216.0,7
160,Kmcode,1216.0,7
162,bsnipers,1208.0,7
163,Temirulan,1204.0,7
164,sleepy_mario,1200.0,7
165,Johnny_2002,1198.0,7
166,Canadia,1196.0,7
166,kingofnumbers,1196.0,7
168,Rainto96,1194.0,7
168,viktorov,1194.0,7
170,HYDROXIDE,1186.0,7
171,uikos,1182.0,7
172,TonySnark,1178.0,7
173,harrypotter192,1174.0,7
174,jasonyik,1164.0,7
175,shivatejesh,1150.0,7
176,percywtc,1146.0,7
177,tapan0007,1144.0,7
