Rank,Handle,Score,Problems Solved
1,orzdevinwang,9673.0,9
2,Kevin114514,9129.0,9
3,275307894a,9077.0,9
4,jiangly,9074.0,9
5,JoesSR,9068.0,9
6,ksun48,8246.0,9
7,turmax,8122.0,9
8,dXqwq,8080.0,9
9,hos.lyric,7870.0,9
10,Rewinding,7850.0,9
11,jiangbowen,7834.0,9
12,LJC00118,7774.0,9
13,ecnerwala,7760.0,9
14,peti1234,7744.0,9
15,no_dream,7713.0,9
16,PinkieRabbit,7695.0,9
17,GroupMatrix,7562.0,9
18,sammyuri,7555.0,9
19,LipArcanjo,7546.0,9
20,Ormlis,7526.0,9
21,hhhgjyismine,7523.0,9
22,CJ_xde_pt,7432.0,9
23,ymmparsa,7259.0,9
24,taeyeon_ss,7041.0,9
25,orz,6914.0,9
26,xuanxuan001,6683.0,9
27,A_G,6673.0,9
28,244mhq,6660.0,9
29,potato167,6657.0,9
30,maspy,6644.0,9
31,BurnedChicken,6606.0,9
32,rqoi031,6584.0,9
33,dog_of_Nesraychan,6579.0,9
33,zhaohaikun,6579.0,9
35,_l_l_,6578.0,9
36,husc24.Serge_,6552.0,9
36,QwertyPi,6552.0,9
38,-Eternity-,6547.0,9
39,jason_sun,6519.0,9
40,oleh1421,6491.0,9
41,Rubikun,6490.0,9
42,kotatsugame,6425.0,9
43,arvindf232,6408.0,9
44,yuto1115,6396.0,9
45,bashkort,6392.0,9
46,Hyperbolic,6370.0,9
47,crazy_sea,6368.0,9
48,shiomusubi496,6362.0,9
49,le0n,6361.0,9
50,Focalors,6356.0,9
51,noimi,6353.0,9
52,alireza_kaviani,6350.0,9
53,Karuna,6320.0,9
54,PCTprobability,6309.0,9
55,Mangooste,6300.0,9
56,mtsd,6292.0,9
57,Nyaan,6286.0,9
58,415411,6276.0,9
59,alvingogo,6271.0,9
60,qwerasdfzxcl,6264.0,9
61,lexiyvv,6262.0,9
62,femboy-wannabe,6258.0,9
63,IzhtskiyTimofey,6257.0,9
64,Xylenox,6254.0,9
65,anmichi,6250.0,9
66,YCKC_LCJ,6247.0,9
67,Endagorion,6239.0,9
68,Otomachi_Una,6236.0,9
69,Fysty,6233.0,9
70,Miracle_Creater,6217.0,9
71,neal,6215.0,9
72,dorijanlendvaj,6213.0,9
73,Andrei_ierdnA,6192.0,9
73,IBory,6192.0,9
75,Akulyat,6190.0,9
76,makrav,6187.0,9
77,Morphymorphymorphy,6181.0,9
78,riantkb,6158.0,9
79,liympanda,6157.0,9
80,74TrAkToR,6150.0,9
81,qiuzx,6147.0,9
82,Sorting,6144.0,9
83,Noam527,6141.0,9
84,Adam_GS,6138.0,9
85,qwerty787788,6136.0,9
86,Matutino,6133.0,9
87,physics0523,6123.0,9
88,tatyam,6115.0,9
89,budalnik,6108.0,9
90,Brovko,6104.0,9
91,DarkestNightmare,6101.0,9
92,fastmath,6068.0,9
93,snuke,6066.0,9
94,q1w2e3r4_1,6065.0,9
95,LuCpp,6061.0,9
96,YuJiahe,6060.0,9
97,gortomi,6057.0,9
98,kostylevGO,6056.0,9
99,peltorator,6053.0,9
100,yuanruiqi,6048.0,9
101,StarSilk,6038.0,9
102,Sana,6037.0,9
103,hitonanode,6025.0,9
104,lvkaiyi0811,6004.0,9
105,YLWang,6002.0,9
106,maroonrk,5964.0,9
107,iakovlev.zakhar,5950.0,9
108,antontrygubO_o,5948.0,9
109,JettyOller,5942.0,9
110,AndreySergunin,5938.0,9
111,bkdn24.lnba,5922.0,9
112,asdsasd,5917.0,9
112,dspt,5917.0,9
114,LHiC,5906.0,9
115,Andreasyan,5904.0,9
116,LUlululu1616,5902.0,9
117,zltzlt,5901.0,9
118,QwQwf,5893.0,9
119,automaton,5887.0,9
120,amirhoseinfar1385,5878.0,9
121,EasonTAO,5870.0,9
122,maomao90,5869.0,9
123,Gnilgnef,5860.0,9
124,zjy2008,5858.0,9
125,jinqihao2026,5853.0,9
126,HNO2,5852.0,9
126,wsyear,5852.0,9
128,oceeff,5848.0,9
129,nikolapesic2802,5843.0,9
130,LMydd0225,5840.0,9
131,toam,5839.0,9
132,Ferume,5837.0,9
133,LeoPro,5836.0,9
134,S2speed,5824.0,9
135,jdurie,5816.0,9
136,sheercold,5815.0,9
137,TheScrasse,5814.0,9
138,k1sara,5813.0,9
139,MridulAhi,5809.0,9
140,Ecrade_,5806.0,9
141,Ivan_len,5805.0,9
142,torisasami,5799.0,9
143,KumaTachiRen,5796.0,9
