Contest Name,Writers,Start Time,Duration
Codeforces Round 983 (Div. 2),AkiLotusKuroniMofKthanhchauns2,Nov/01/2024 17:35,02:00
Codeforces Round (Div. 1 + Div. 2),,Nov/09/2024 17:35,03:00
Codeforces Round (Div. 2),,Nov/10/2024 18:35,02:00
Codeforces Round (Div. 2),,Nov/15/2024 15:35,02:00
Codeforces Round (Div. 1 + Div. 2),,Nov/30/2024 17:35,02:00
Educational Codeforces Round 171 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoo,Oct/28/202417:35,02:00
Codeforces Round 982 (Div. 2)Enter »Virtual participation »,myst-6yud08,Oct/26/202417:35,02:00
Codeforces Round 980 (Div. 1)Enter »Virtual participation »,MangoosteOrmlisTikhon228adepteXiaoglebustimsevlll777yunetive29,Oct/20/202412:05,02:00
Codeforces Round 980 (Div. 2)Enter »Virtual participation »,MangoosteOrmlisTikhon228adepteXiaoglebustimsevlll777yunetive29,Oct/20/202412:05,02:00
Codeforces Round 979 (Div. 2)Enter »Virtual participation »,cryvgoofficial,Oct/19/202417:05,02:15
Educational Codeforces Round 170 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoofcspartakm,Oct/14/202417:35,02:00
Codeforces Round 978 (Div. 2)Enter »Virtual participation »,JuanPabloAmezcuaMarckessSebRjampm,Oct/13/202422:35,02:00
"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)Enter »Virtual participation »",ArvinCiuCyberSleeperathinjoelgun14,Oct/06/202409:05,02:00
Codeforces Round 976 (Div. 2) and Divide By Zero 9.0Enter »Virtual participation »,P.V.Sekharnishkarsh,Sep/29/202418:35,02:00
Codeforces Round 975 (Div. 1)Enter »Virtual participation »,TheScrasselorenzoferrariwksni,Sep/27/202416:35,02:30
Codeforces Round 975 (Div. 2)Enter »Virtual participation »,TheScrasselorenzoferrariwksni,Sep/27/202416:35,02:30
Codeforces Round 973 (Div. 2)Enter »Virtual participation »,ChalishkanI_Love_Diar_NarumovWansur,Sep/20/202417:35,02:00
Codeforces Round 972 (Div. 2)Enter »Virtual participation »,BiNARyBeasttTsovak,Sep/14/202417:35,02:00
Codeforces Round 969 (Div. 1)Enter »Virtual participation »,DitaMirikaLMydd0225Ternary_Tree__FJqwqtzl_Dedicatus545wyrqwq,Aug/30/202417:35,02:30
Codeforces Round 969 (Div. 2)Enter »Virtual participation »,DitaMirikaLMydd0225Ternary_Tree__FJqwqtzl_Dedicatus545wyrqwq,Aug/30/202417:35,02:30
Codeforces Round 968 (Div. 2)Enter »Virtual participation »,zltzlt,Aug/25/202417:35,02:00
Codeforces Round 967 (Div. 2)Enter »Virtual participation »,Misuki,Aug/20/202417:35,02:00
Educational Codeforces Round 169 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoo,Aug/15/202417:35,02:00
EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2)Enter »Virtual participation »,Flamirele0nxcyle,Aug/11/202417:35,03:00
Codeforces Round 965 (Div. 2)Enter »Virtual participation »,crysatyam343sum,Aug/10/202417:35,02:00
Codeforces Round 963 (Div. 2)Enter »Virtual participation »,GlowCheesethanhchauns2,Aug/04/202417:35,02:00
Educational Codeforces Round 168 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonadedalicawoo,Jul/30/202417:35,02:00
Pinely Round 4 (Div. 1 + Div. 2)Enter »Virtual participation »,ZhouShang2003,Jul/28/202417:35,03:00
Codeforces Round 961 (Div. 2)Enter »Virtual participation »,Vitaly503goncharovmikeikrpprppp,Jul/23/202417:35,02:00
Codeforces Round 960 (Div. 2)Enter »Virtual participation »,wuhudsm,Jul/20/202417:35,02:00
Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2)Enter »Virtual participation »,EJIC_B_KEDAXSokol080808azureglowgreen_gold_dogmolneyzwezdinv,Jul/18/202417:35,02:00
Codeforces Round 958 (Div. 2)Enter »Virtual participation »,feecIe6418,Jul/15/202417:35,02:00
Codeforces Round 956 (Div. 2) and ByteRace 2024Enter »Virtual participation »,AwakeAnayBlazingDragonDC17MrSavageVSPew_Pew.ShivanshJSwap-nilTimeWarp101,Jul/07/202417:35,02:15
EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2)Enter »Virtual participation »,Vladithur,Jun/30/202417:35,03:00
Educational Codeforces Round 167 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,Jun/27/202417:35,02:00
"Codeforces Round 955 (Div. 2, with prizes from NEAR!)Enter »Virtual participation »",FelixArgegor4444ikiamdimonisnik1998,Jun/25/202417:35,02:00
Codeforces Round 953 (Div. 2)Enter »Virtual participation »,127.0.0.1Artyom123IzhtskiyTimofeyTheEvilBirdTikhon228bashkortvaaven,Jun/16/202412:05,02:00
Codeforces Round 951 (Div. 2)Enter »Virtual participation »,iNNNo,Jun/06/202417:35,02:00
Codeforces Round 949 (Div. 2)Enter »Virtual participation »,sinsop90yinheezltzlt,May/31/202413:05,02:00
Educational Codeforces Round 166 (Rated for Div. 2)Enter »Virtual participation »,BledDestNeonRomsadedalicawoo,May/30/202417:35,02:00
